Company,Status,Latitude,Longitude
Unknown,Location Unconfirmed,38.9932422,-77.4185779
Unknown,Location Unconfirmed,39.0230958,-77.4149458
Van Metre Communities LLC/Roy Barnett,Location Unconfirmed,39.062769,-77.5686505
Vantage Data Centers,Location Unconfirmed,39.079757,-77.506546
Vantage Data Centers,Location Unconfirmed,39.0738104,-77.5058182
Vantage Data Centers,Location Unconfirmed,39.0771867,-77.5054984
Vantage Data Centers,Proposed,38.9993398,-77.4417907
Vantage Data Centers,Location Unconfirmed,39.0010453,-77.4410884
Vantage Data Centers,Location Unconfirmed,38.9999642,-77.4407486
Vantage Data Centers,Location Unconfirmed,38.9985435,-77.4284906
Vantage Data Centers,Location Unconfirmed,38.9998172,-77.4258653
Visa,Location Unconfirmed,39.0508519,-77.4462748
Yondr,Location Unconfirmed,38.9508925,-77.5492618
Zebra East,Location Unconfirmed,39.0046718,-77.4716651
