Company,Project,Partner ,Watershed,Category,Date,Gallons,X,Y,gal_num
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-02,860,39.0184955,-77.4388832,860.0
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-03,482,39.0184955,-77.4388832,482.0
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-04,204,39.0184955,-77.4388832,204.0
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-05,167,39.0184955,-77.4388832,167.0
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-06,283,39.0184955,-77.4388832,283.0
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-07,204,39.0184955,-77.4388832,204.0
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-08,549,39.0184955,-77.4388832,549.0
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-09,170,39.0184955,-77.4388832,170.0
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-10,300,39.0184955,-77.4388832,300.0
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-11,1322,39.0184955,-77.4388832,1322.0
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-12,2469,39.0184955,-77.4388832,2469.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2023-01,11629,39.0184955,-77.4388832,11629.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2023-02,11545,39.0184955,-77.4388832,11545.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2023-03,13192,39.0184955,-77.4388832,13192.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2023-04,10945,39.0184955,-77.4388832,10945.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2023-05,11180,39.0184955,-77.4388832,11180.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2023-06,9387,39.0184955,-77.4388832,9387.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2023-07,9619,39.0184955,-77.4388832,9619.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2023-08,11314,39.0184955,-77.4388832,11314.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2023-09,9953,39.0184955,-77.4388832,9953.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2023-10,11552,39.0184955,-77.4388832,11552.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2023-11,11144,39.0184955,-77.4388832,11144.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2023-12,10639,39.0184955,-77.4388832,10639.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-01,10465,39.0184955,-77.4388832,10465.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-02,11359,39.0184955,-77.4388832,11359.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-03,10578,39.0184955,-77.4388832,10578.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-04,10071,39.0184955,-77.4388832,10071.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-05,10101,39.0184955,-77.4388832,10101.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-06,10053,39.0184955,-77.4388832,10053.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-07,9978,39.0184955,-77.4388832,9978.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-08,10256,39.0184955,-77.4388832,10256.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-09,9010,39.0184955,-77.4388832,9010.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-10,9278,39.0184955,-77.4388832,9278.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-11,8607,39.0184955,-77.4388832,8607.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-12,7528,39.0184955,-77.4388832,7528.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-01,9353,39.0184955,-77.4388832,9353.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-02,9413,39.0184955,-77.4388832,9413.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-03,9945,39.0184955,-77.4388832,9945.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-04,9106,39.0184955,-77.4388832,9106.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-05,9626,39.0184955,-77.4388832,9626.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-06,10030,39.0184955,-77.4388832,10030.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-07,11021,39.0184955,-77.4388832,11021.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-08,10748,39.0184955,-77.4388832,10748.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-09,10121,39.0184955,-77.4388832,10121.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-10,10635,39.0184955,-77.4388832,10635.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-11,9263,39.0184955,-77.4388832,9263.0
Amazon,21641 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-12,10524,39.0184955,-77.4388832,10524.0
Amazon,25390 SUTTON BAY PLZ CHANTILLY 20152,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2023-01,-19,38.9154,-77.4809,-19.0
